legacy_path	area	page_name	page_title	purpose_hint	user_type	permission_keys	scope_evidence	tables	forms	actions	statuses	attachments	print_pdf	linked_php	ajax	public_token_candidate	reachability	activity	evidence
branch/bed_reservation_pdf_en.php	branch	bed_reservation_pdf_en		bed reservation pdf en	branch user		company,branch	bed_reservation,booking_period,branches,companies_groups,forms_contacts,html,ra_users,room_type		send,reply		yes	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,login.php,logout.php,index.php,complaints_pdf.php,bed_reservation_pdf_en.php,barcode.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
branch/bed_reservation_tcpdf.php	branch	bed_reservation_tcpdf		bed reservation tcpdf	branch user		company,branch	bed_reservation,booking_period,branches,companies_groups,forms_contacts,html,ra_users,room_type		reply		yes	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,login.php,logout.php,index.php,complaints_pdf.php,bed_reservation_pdf.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
branch/bed_reservation_tcpdf_en.php	branch	bed_reservation_tcpdf_en		bed reservation tcpdf en	branch user		company,branch	bed_reservation,booking_period,bottom,branches,companies_groups,data,forms_contacts,html,ra_users,room_type		update,send,reply		yes	yes	hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,login.php,logout.php,index.php,complaints_pdf.php,bed_reservation_pdf.php,tcpdf_include.php,tcpdf_config_alt.php,tcpdf.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
branch/birth_notification.php	branch	birth_notification	تبليغ الولادة	birth notification	branch user		branch	birth_notification,birth_notification_obstetrics,birth_notification_seha_upload,if,newborn_type,ra_users,server,sms_archive,sms_sender_name	<?php echo $pagename; ?>,<?php echo $page_name; ?>,<?php echo $page_name;?>,<?php echo $page_name; ?>?do=delete	create,update,delete,send	4,3,0,2,1	yes	yes	header.inc.php,sms_class.php,birth_notification.php,sendsoundajax.php,birthchild_form.php,SL.php,footer.inc.php,birth_notification_form_arabic.php,birth_notification_form_english.php,inquiries_and_services.php,birth_pdf.php,birthchild_form_status_reason.php,birth_notification_timeline.php,birth_notification_get.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
branch/birth_notification1.php	branch	birth_notification1	تبليغ الولادة	birth notification1	branch user		branch	birth_notification,birth_notification_obstetrics,birth_notification_seha_upload,if,newborn_type,ra_users,server,sms_archive,sms_sender_name	<?php echo $pagename; ?>,<?php echo $page_name; ?>,<?php echo $page_name;?>,<?php echo $page_name; ?>?do=delete	create,update,delete,send	0,4,1,2	yes	yes	header.inc.php,sms_class.php,birth_notification.php,sendsoundajax.php,birthchild_form.php,SL.php,footer.inc.php,birth_notification_form_arabic.php,birth_notification_form_english.php,inquiries_and_services.php,birth_pdf.php,birthchild_form_status_reason.php,birth_notification_timeline.php,birth_notification_get.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
branch/birth_notification_form_arabic.php	branch	birth_notification_form_arabic		birth notification form arabic	branch user			clinician_hospitals,clinicians				no	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php	yes	review	outbound-linked	unknown	ajax
branch/birth_notification_form_english.php	branch	birth_notification_form_english		birth notification form english	branch user			clinician_hospitals,clinicians				no	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php	yes	review	outbound-linked	unknown	ajax
branch/birth_notification_get.php	branch	birth_notification_get		birth notification get	branch user			birth_notification,the				no	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php	yes	review	outbound-linked	unknown	ajax
branch/birth_notification_pdf.php	branch	birth_notification_pdf		birth notification pdf	branch user		company,branch	birth_notification,birth_notification_id_type,birth_notification_seha_upload,birth_relative_relation,branches,clinicians,companies_groups,country_yakeen,html,nationality,ra_users		reply	1	yes	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,complaints_pdf.php,birth_notification_pdf.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
branch/birth_notification_timeline.php	branch	birth_notification_timeline		birth notification timeline	branch user			birth_notification,birth_notification_seha_upload,ra_users			1	yes	no	header.inc.php,birth_notification.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; file handling/ref
branch/birth_pdf.php	branch	birth_pdf		birth pdf	branch user		company,branch	birth_notification_seha_upload,html			1	yes	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,complaints_pdf.php,birth_notification_pdf.php	yes	review	outbound-linked	unknown	ajax; print/pdf; file handling/ref
branch/birthchild_form.php	branch	birthchild_form	ALHAMMADI | NEWBORNS	birthchild form	branch user			birth_notification,birth_notification_id_type,country_yakeen	birthchild_form.php?t=<?php echo hh_html($sms_tocken_param);?>	update,send	4	yes	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,birthchild_form_result.php,birthchild_form.php,birthchild_form_id_copy_number.php,govermental_serves_forms.php,sendsoundajax.php,birthchild_form_id_copy_number_mother.php,empty.php,birthchild_form_reporting_person.php	yes	review	outbound-linked	unknown	form; ajax; file handling/ref
branch/birthchild_form_id_copy_number.php	branch	birthchild_form_id_copy_number		birthchild form id copy number	branch user							no	no		no	review	unresolved	unknown	
branch/birthchild_form_id_copy_number_mother.php	branch	birthchild_form_id_copy_number_mother		birthchild form id copy number mother	branch user							no	no		no	review	unresolved	unknown	
branch/birthchild_form_reporting_person.php	branch	birthchild_form_reporting_person		birthchild form reporting person	branch user			birth_relative_relation				no	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php	yes	review	outbound-linked	unknown	ajax
branch/birthchild_form_result.php	branch	birthchild_form_result	ALHAMMADI | NEWBORNS	birthchild form result	branch user							yes	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php	no	review	outbound-linked	unknown	file handling/ref
branch/birthchild_form_status_reason.php	branch	birthchild_form_status_reason		birthchild form status reason	branch user							no	no		no	review	unresolved	unknown	
branch/book_a_medical_appointment.php	branch	book_a_medical_appointment		book a medical appointment	branch user		branch	book_a_medical_appointment,book_a_medical_appointment_coverage_status,book_a_medical_appointment_procedure_place,book_a_medical_appointment_status,book_a_medical_appointment_time,book_a_medical_appointment_timeline,clinicians,if,sms_archive,sms_sender_name,specialized_clinics	../complaints.php,<?php echo $pagename; ?>	create,update,delete,reject,send,reply	0,1,5,4	no	yes	header.inc.php,sms_class.php,book_a_medical_appointment.php,complaints.php,footer.inc.php,medical_appointment.php,book_a_medical_appointment_patient_form.php,sendsoundajax.php,book_a_medical_appointment_doctor_form.php,book_a_medical_appointment_status_details.php,book_a_medical_appointment_timeline.php,medical_appointment_pdf.php,medical_appointment_select_date_pdf.php,medical_appointment_rejected_pdf.php,medical_appointment_doctor_reply_pdf.php,department_grap.php,rep12_main_section_grap.php,book_appointment_doctors_grap.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
branch/book_a_medical_appointment_department.php	branch	book_a_medical_appointment_department		book a medical appointment department	branch user		branch	book_a_medical_appointment_department,complaints,functin,if	<?php echo $pagename; ?>	create,update,delete,send	4	no	no	header.inc.php,book_a_medical_appointment_department.php,sendsoundajax.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax
branch/book_a_medical_appointment_doctor_form.php	branch	book_a_medical_appointment_doctor_form		book a medical appointment doctor form	branch user							no	no	hr_session.php,config.php	no	review	outbound-linked	unknown	
branch/book_a_medical_appointment_doctors.php	branch	book_a_medical_appointment_doctors		book a medical appointment doctors	branch user		branch	book_a_medical_appointment_doctors,clinicians,functin,if	<?php echo $pagename; ?>	create,update,delete,send	4	no	no	header.inc.php,book_a_medical_appointment_doctors.php,sendsoundajax.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax
branch/book_a_medical_appointment_patient_form.php	branch	book_a_medical_appointment_patient_form		book a medical appointment patient form	branch user							no	no	hr_session.php,config.php	no	review	outbound-linked	unknown	
branch/book_a_medical_appointment_reason.php	branch	book_a_medical_appointment_reason		book a medical appointment reason	branch user							no	no		no	review	unresolved	unknown	
branch/book_a_medical_appointment_status_details.php	branch	book_a_medical_appointment_status_details		book a medical appointment status details	branch user							no	no	config.php	no	review	outbound-linked	unknown	
branch/book_a_medical_appointment_timeline.php	branch	book_a_medical_appointment_timeline		book a medical appointment timeline	branch user		branch	book_a_medical_appointment,book_a_medical_appointment_status,book_a_medical_appointment_timeline,clinicians,ra_users,specialized_clinics			3,11	no	yes	header.inc.php,birth_notification.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
branch/book_a_medical_appointment_timelineBk.php	branch	book_a_medical_appointment_timelineBk		book a medical appointment timelineBk	branch user		branch	book_a_medical_appointment,book_a_medical_appointment_status,book_a_medical_appointment_timeline,ra_users				no	no	header.inc.php,birth_notification.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax
branch/book_appointment_doctors_grap.php	branch	book_appointment_doctors_grap		book appointment doctors grap	branch user		branch	clinicians,comlaints_employees_emails,rep12_subsection				no	no	hr_session.php,config.php,common.php	yes	no	outbound-linked	unknown	session/header guard; ajax
branch/branch_user_groups.php	branch	branch_user_groups		branch user groups	branch user		branch	country,functin,if,user_groups_permission	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,branch_user_groups.php,branch_user_groups_permissins.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
branch/cause_of_death.php	branch	cause_of_death		cause of death	branch user		branch	complaints,emergency_escape_report_side,functin,if	<?php echo $pagename; ?>	create,update,delete,send	4	no	no	header.inc.php,emergency_escape_report_side.php,sendsoundajax.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax
branch/centeral_floors.php	branch	centeral_floors		centeral floors	branch user		branch	centeral_floors,clinics,functin,if	<?php echo $pagename; ?>	create,update,delete,send	4	no	no	header.inc.php,centeral_floors.php,sendsoundajax.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax
branch/centeral_sections.php	branch	centeral_sections		centeral sections	branch user		branch	centeral_sections,central_ext_phone,functin,if	<?php echo $pagename; ?>	create,update,delete,send	4	no	no	header.inc.php,centeral_sections.php,sendsoundajax.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax
branch/central-follow-up.php	branch	central-follow-up		central follow up	branch user		branch	functin,if	<?php echo $pagename;?>,<?php echo $pagename; ?>	create,update,delete	0	no	yes	header.inc.php,sms_class.php,central-follow-up.php,footer.inc.php,inquiries_sms.php,rate.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
branch/centralSections.php	branch	centralSections		centralSections	branch user			centeral_floors,centeral_sections,central_ext_phone,clinics				no	yes	header.inc.php,central_details.php,outpatient_clinics_sections.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
branch/central_details.php	branch	central_details		central details	branch user			centeral_floors,centeral_sections,central_duty_time,central_ext_phone,insurance_companies				no	yes	header.inc.php,centralSections.php,central_details.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
branch/central_duty_time.php	branch	central_duty_time		central duty time	branch user		branch	centeral_floors,centeral_sections,central_duty_time,functin,helper,if	<?php echo $pagename; ?>	create,update,delete,send	4	yes	yes	header.inc.php,SimpleXLSX.php,central_duty_time.php,city_grap.php,sendsoundajax.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
branch/central_ext.php	branch	central_ext	السنترال	central ext	branch user							no	no	header.inc.php,footer.inc.php	no	no	outbound-linked	unknown	session/header guard
branch/central_ext_data.php	branch	central_ext_data		central ext data	branch user			centeral_sections,central_ext_phone,clinician_hospitals,clinicians				no	no	hr_session.php,config.php	yes	review	outbound-linked	unknown	ajax
branch/central_ext_phone.php	branch	central_ext_phone		central ext phone	branch user		branch	centeral_floors,centeral_sections,central_ext_phone,functin,helper,if	<?php echo $pagename; ?>	create,update,delete,send	4	yes	yes	header.inc.php,SimpleXLSX.php,central_ext_phone.php,city_grap.php,sendsoundajax.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
branch/change_duty_time.php	branch	change_duty_time		change duty time	branch user		branch	change_duty_time_branch_reply,change_duty_time_request,functin,if,ra_users	<?php echo $pagename; ?>	create,update,delete,send,reply	4	no	yes	header.inc.php,change_duty_time.php,sendsoundajax.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
branch/change_duty_time_pdf.php	branch	change_duty_time_pdf		change duty time pdf	branch user		branch	bottom,branches,change_duty_time_request,holydays_type,html,ra_users		update,reply		yes	yes	hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,login.php,logout.php,index.php,complaints_pdf.php,tcpdf_include.php,tcpdf_config_alt.php,tcpdf.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
branch/change_duty_time_request.php	branch	change_duty_time_request	طلب تغيير وقت الدوام	change duty time request	branch user		branch	change_duty_time_request,city,functin,if	<?php echo $pagename; ?>	create,update,delete,approve,send,reply	4,2	no	yes	header.inc.php,change_duty_time_request.php,sendsoundajax.php,change_duty_time_pdf.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
branch/change_my_pass.php	branch	change_my_pass		change my pass	branch user			ra_users	./change_my_pass.php	update		no	no	header.inc.php,change_my_pass.php,footer.inc.php	no	no	outbound-linked	unknown	session/header guard; form
branch/change_user_pass.php	branch	change_user_pass		change user pass	branch user			ra_users	change_user_pass.php?id=<?php echo hh_html($id); ?>	update		no	no	header.inc.php,users.php,change_user_pass.php,footer.inc.php	no	no	outbound-linked	unknown	session/header guard; form
branch/claimingAgainstOthers.php	branch	claimingAgainstOthers	ALHAMMADI	claimingAgainstOthers	branch user		company,branch	branches,claiming_against_others,companies_groups,countries,injury_type,output,ra_users,room_type,sms_archive	claimingAgainstOthers.php?t=<?php echo hh_html($tokenParam);?>	create,update,approve,send,reply	1	yes	yes	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,sms_class.php,utility_claiming_aginest_others_en.php,utility_claiming_aginest_others.php,claimingAgainstOthersPrint.php,claimingAgainstOthers.php,umalquraCal.class.php,guaranteeAgreement_result.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
branch/claimingAgainstOthersPrint.php	branch	claimingAgainstOthersPrint		claimingAgainstOthersPrint	branch user			claiming_against_others,payment_guarantee				no	yes	hr_session.php,config.php	yes	review	outbound-linked	unknown	ajax; print/pdf
branch/claiming_against_arabic.php	branch	claiming_against_arabic		claiming against arabic	branch user			nationality,rep1_payment_due_action,rep1_payment_due_reason,rep1_payment_type		approve		no	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php	yes	review	outbound-linked	unknown	ajax
branch/claiming_against_others.php	branch	claiming_against_others		claiming against others	branch user		company,branch	branches,certificate_upload,claiming_against_others,claiming_against_others_attachments,companies_groups,countries,functin,html,if,injury_type,payment_guarantee,ra_users,relatives,room_type,sms_archive,sms_sender_name	<?php echo $pagename; ?>,./complaints.php,<?php echo 	create,update,delete,approve,send,reply	0,4,1	yes	yes	header.inc.php,autoload.php,sms_class.php,Shortener.class.php,claiming_against_others.php,sendsoundajax.php,claimingAgainstOthersPrint.php,barcode.php,claimingAgainstOthers.php,SL.php,paymentGuarantee.php,claiming_against_others_data.php,complaints.php,claiming_against_others_view.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
branch/claiming_against_othersBk.php	branch	claiming_against_othersBk		claiming against othersBk	branch user		branch	certificate_upload,claiming_against_others,claiming_against_others_attachments,functin,if,nationality,ra_users,technical_failure_notice	<?php echo $pagename; ?>,./complaints.php,<?php echo 	create,update,delete,send,reply	0,4,1	yes	yes	header.inc.php,claiming_against_others.php,sendsoundajax.php,claiming_against_others_data.php,complaints.php,claiming_against_others_view.php,claiming_against_others_pdf.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
branch/claiming_against_others_data.php	branch	claiming_against_others_data		claiming against others data	branch user			countries,injury_type,relatives				no	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,claiming_against_others_data.php,payment_guarantee_hijri.php,payment_guarantee_gregorian.php	yes	review	outbound-linked	unknown	ajax
branch/claiming_against_others_pdf.php	branch	claiming_against_others_pdf		claiming against others pdf	branch user		company,branch	branches,claiming_against_others,companies_groups,html,injury_type,nationality,ra_users,room_type		reply		yes	yes	hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,login.php,logout.php,index.php,complaints_pdf.php,claiming_against_others_pdf.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
branch/claiming_against_others_view.php	branch	claiming_against_others_view		claiming against others view	branch user		branch	claiming_against_others,ra_users		approve		no	yes	header.inc.php,index.php,complaints_pdf.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
branch/client_balance.php	branch	client_balance		client balance	branch user		branch			update		no	yes	header.inc.php,client_balance.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
branch/client_funds.php	branch	client_funds		client funds	branch user		branch	clients_transfer_funds		update		no	yes	header.inc.php,client_funds.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
branch/client_orders.php	branch	client_orders		client orders	branch user		branch	clients,order_status,order_status_add		update		no	yes	header.inc.php,client_orders.php,order_report.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
branch/client_payments.php	branch	client_payments		client payments	branch user		branch					no	yes	header.inc.php,clients_payments.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
branch/clinic_details.php	branch	clinic_details	الفروع	clinic details	branch user			clinics,companies_groups,country,specialized_clinics				no	yes	header.inc.php,clinicians_details.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
branch/clinicians.php	branch	clinicians		clinicians	branch user		branch	clinician_hospitals,clinicians,clinicians_status_actions,clinics,companies_groups,sms_archive,sms_sender_name,specialized_clinics	clinicians.php	create,send		yes	yes	header.inc.php,clinicians.php,footer.inc.php,cliniciansForm.php,SL.php,birthchild_form.php,clinicians_services.php	yes	review	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
branch/cliniciansD.php	branch	cliniciansD		cliniciansD	branch user			clinician_hospitals,clinicians,clinics,companies_groups,country,specialized_clinics				no	yes	header.inc.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
branch/cliniciansForm.php	branch	cliniciansForm	ALHAMMADI	cliniciansForm	branch user		branch	clinicians,clinicians_status_actions,country	cliniciansForm.php?t=<?php echo $t; ?>	create,update	4,2	yes	yes	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,cliniciansFormResult.php,cliniciansForm.php,rep12_sub_section_client_grap.php,rep12_main_section_grap.php	yes	review	outbound-linked	unknown	form; ajax; print/pdf; file handling/ref
branch/clinicians_auto_sms_send.php	branch	clinicians_auto_sms_send		clinicians auto sms send	branch user		branch	clinicians,clinicians_status_actions,sms_archive,sms_sender_name		create,update,send	3,5	no	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,sms_class.php,Shortener.class.php,cliniciansForm.php,SL.php,birthchild_form.php	yes	no	outbound-linked	unknown	session/header guard; ajax
branch/clinicians_data.php	branch	clinicians_data		clinicians data	branch user			clinician_hospitals,clinicians,clinics,companies_groups,country,specialized_clinics	<?php echo $pagename; ?>			no	yes	header.inc.php,clinicians_data.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
branch/clinicians_details.php	branch	clinicians_details		clinicians details	branch user		branch	clinician_hospitals,clinicians,clinics,companies_groups,country,specialized_clinics	<?php echo $pagename; ?>			no	yes	header.inc.php,clinicians_details.php,footer.inc.php	yes	review	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
branch/clinicians_edit.php	branch	clinicians_edit		clinicians edit	branch user		branch	clinician_hospitals,clinicians,clinics,companies_groups,country,specialized_clinics	clinicians_edit.php	create,update,delete,send		yes	yes	header.inc.php,clinicians_edit.php,footer.inc.php,clinicians_view.php	yes	review	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
branch/clinicians_pdf.php	branch	clinicians_pdf		clinicians pdf	branch user		branch	clinician_hospitals,clinicians,companies_groups,country,html,specialized_clinics				yes	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,index.php,medicalReport_pdf.php	yes	review	outbound-linked	unknown	ajax; print/pdf; file handling/ref
branch/clinicians_services.php	branch	clinicians_services		clinicians services	branch user		branch	clinicians,clinicians_status_actions,functin,if,sms_archive,sms_sender_name,specialized_clinics	<?php echo $pagename; ?>	create,update,delete,send	4,0,3,5,6,1,2	no	yes	header.inc.php,sms_class.php,Shortener.class.php,clinicians_services.php,cliniciansForm.php,SL.php,clinicians.php,clinicians_view.php,sendsoundajax.php,clinicians_timeline.php,clinicians_pdf.php,footer.inc.php,clinicians_grap.php,rep12_main_section_grap.php,inquired_section_grap.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
branch/clinicians_timeline.php	branch	clinicians_timeline		clinicians timeline	branch user		branch	clinicians,clinicians_status_actions,ra_users			3,5,1,2,4,6	no	no	header.inc.php,birth_notification.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax
branch/clinicians_view.php	branch	clinicians_view		clinicians view	branch user		branch	clinician_hospitals,clinicians,clinics,companies_groups,specialized_clinics	<?php echo $pagename; ?>	delete		no	yes	header.inc.php,clinicians_edit.php,clinicians_view.php,clinicians.php,footer.inc.php	yes	review	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
branch/clinics.php	branch	clinics		clinics	branch user		branch	centeral_floors,clinics,functin,if	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,clinics.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
branch/clinics_support_services_details.php	branch	clinics_support_services_details		clinics support services details	branch user		branch	clinics,clinics_support_services_details,functin,helper,if	<?php echo $pagename; ?>	create,update,delete,send	4	yes	yes	header.inc.php,SimpleXLSX.php,clinics_support_services_details.php,city_grap.php,sendsoundajax.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
branch/code_data.php	branch	code_data		code data	branch user			services_codes				no	no	config.php	yes	review	outbound-linked	unknown	ajax
branch/codes_section.php	branch	codes_section		codes section	branch user			codes_sections,insurance_companies,specialized_clinics				no	yes	header.inc.php,insurance_companies.php,packages_details.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
branch/comlaints_employees_emails.php	branch	comlaints_employees_emails		comlaints employees emails	branch user		branch	branches_departments,comlaints_employees_emails,complaints,functin,if,rep12_main_section,rep12_subsection	<?php echo $pagename; ?>	create,update,delete,send	4	no	yes	header.inc.php,comlaints_employees_emails.php,sendsoundajax.php,rep12_main_section_grap.php,rep12_sub_section_grap.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
branch/comlaints_sender_email.php	branch	comlaints_sender_email		comlaints sender email	branch user		branch	comlaints_sender_email,if	<?php echo $pagename; ?>	create,update,delete,send		no	no	header.inc.php,OpensslEncryptDecrypt.php,comlaints_sender_email.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax
branch/comlaints_subsctions.php	branch	comlaints_subsctions		comlaints subsctions	branch user		branch	branches_departments,complaints,functin,if,rep12_main_section,rep12_subsection	<?php echo $pagename; ?>	create,update,delete,send	4	no	yes	header.inc.php,comlaints_subsctions.php,sendsoundajax.php,rep12_main_section_grap.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
branch/comlaints_subsctions_emails.php	branch	comlaints_subsctions_emails		comlaints subsctions emails	branch user		branch	branches_departments,comlaints_subsctions_emails,functin,if,rep12_main_section,rep12_subsection	<?php echo $pagename; ?>	create,update,delete,send	4	no	yes	header.inc.php,comlaints_subsctions_emails.php,sendsoundajax.php,rep12_main_section_grap.php,rep12_sub_section_grap.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
branch/complains_add_more_subsction.php	branch	complains_add_more_subsction		complains add more subsction	branch user		branch	branches_departments,rep12_main_section,rep12_subsection				no	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,rep12_main_section_grap.php,rep12_sub_section_client_grap.php,rep12_sub_section_employee_grap.php	yes	review	outbound-linked	unknown	ajax
branch/complaintCheck.php	branch	complaintCheck		complaintCheck	branch user		branch	branches_departments,comlaints_employees_emails,companies_groups,complaints,complaints_reply,html,ra_users,rep12_main_section,rep12_subsection,rep_12_complainant_side		update,reply		no	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,index.php,complaints_pdf.php,complaintCheck_en.php,complaintCheck.php	yes	review	outbound-linked	unknown	ajax; print/pdf
branch/complaintCheck_en.php	branch	complaintCheck_en		complaintCheck en	branch user		branch	bottom,branches_departments,comlaints_employees_emails,complaints,complaints_reply,html,ra_users,rep12_main_section,rep12_subsection,rep_12_complainant_side		update,reply		yes	yes	config.php,functions.php,index.php,complaints_pdf.php,tcpdf_include.php,tcpdf_config_alt.php,tcpdf.php,complaintCheck.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
branch/complaintForm.php	branch	complaintForm	ALHAMMADI	complaintForm	branch user		branch	branches_departments,complaints,complaints_numbers,complaints_reply,rep_12_complainant_side	complaintForm.php	create,update,delete,reply		yes	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,complaint_form_result.php,complaint_form.php,complaintForm.php,rep12_sub_section_client_grap.php,rep12_main_section_grap.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; file handling/ref
branch/complaint_closing_reasons_other.php	branch	complaint_closing_reasons_other		complaint closing reasons other	branch user							no	no		no	review	unresolved	unknown	
